chrom	strand	start	end	value
chr7	+	1084196	1084206	409.0
chr7	+	1084214	1084224	282.0
chr7	+	157683	157693	66.0
chr7	+	560336	560346	41.0
chr7	+	53663	53673	33.0
chr7	+	719447	719457	31.0
chr7	+	905616	905626	22.0
chr7	+	1026142	1026152	21.0
chr7	+	448685	448695	19.0
chr7	+	596323	596333	19.0
chr7	+	614400	614410	19.0
chr7	+	189592	189602	14.0
chr7	+	273504	273514	14.0
chr7	+	448813	448823	14.0
chr7	+	719416	719426	14.0
chr7	+	1061716	1061726	14.0
chr7	+	37994	38004	12.0
chr7	+	853851	853861	12.0
chr7	+	866330	866340	12.0
chr7	+	893158	893168	12.0
chr7	+	49339	49349	11.0
chr7	+	143882	143892	11.0
chr7	+	149298	149308	11.0
chr7	+	272056	272066	11.0
chr7	+	361088	361098	11.0
chr7	+	609196	609206	11.0
chr7	+	800322	800332	11.0
chr7	+	905008	905018	11.0
chr7	+	1003590	1003600	11.0
chr7	+	116469	116479	10.0
chr7	+	143282	143292	10.0
chr7	+	272007	272017	10.0
chr7	+	382485	382495	10.0
chr7	+	392249	392259	10.0
chr7	+	396348	396358	10.0
chr7	+	416497	416507	10.0
chr7	+	442089	442099	10.0
chr7	+	459986	459996	10.0
chr7	+	503805	503815	10.0
chr7	+	511106	511116	10.0
chr7	+	584414	584424	10.0
chr7	+	617196	617206	10.0
chr7	+	638155	638165	10.0
chr7	+	649129	649139	10.0
chr7	+	676935	676945	10.0
chr7	+	733273	733283	10.0
chr7	+	743317	743327	10.0
chr7	+	761158	761168	10.0
chr7	+	805804	805814	10.0
chr7	+	1028558	1028568	10.0
chr7	+	57811	57821	9.0
chr7	+	62512	62522	9.0
chr7	+	163914	163924	9.0
chr7	+	220602	220612	9.0
chr7	+	251351	251361	9.0
chr7	+	282852	282862	9.0
chr7	+	314127	314137	9.0
chr7	+	368239	368249	9.0
chr7	+	410178	410188	9.0
chr7	+	432439	432449	9.0
chr7	+	452017	452027	9.0
chr7	+	460915	460925	9.0
chr7	+	476101	476111	9.0
chr7	+	517127	517137	9.0
chr7	+	595888	595898	9.0
chr7	+	676970	676980	9.0
chr7	+	714153	714163	9.0
chr7	+	760124	760134	9.0
chr7	+	787353	787363	9.0
chr7	+	845880	845890	9.0
chr7	+	878902	878912	9.0
chr7	+	943082	943092	9.0
chr7	+	973656	973666	9.0
chr7	+	974615	974625	9.0
chr7	+	977703	977713	9.0
chr7	+	49651	49661	8.0
chr7	+	53602	53612	8.0
chr7	+	75625	75635	8.0
chr7	+	85941	85951	8.0
chr7	+	122164	122174	8.0
chr7	+	160307	160317	8.0
chr7	+	205495	205505	8.0
chr7	+	213194	213204	8.0
chr7	+	235908	235918	8.0
chr7	+	284877	284887	8.0
chr7	+	345238	345248	8.0
chr7	+	385989	385999	8.0
chr7	+	414851	414861	8.0
chr7	+	448779	448789	8.0
chr7	+	449730	449740	8.0
chr7	+	455871	455881	8.0
chr7	+	478179	478189	8.0
chr7	+	493572	493582	8.0
chr7	+	507184	507194	8.0
chr7	+	512415	512425	8.0
chr7	+	617078	617088	8.0
chr7	+	648950	648960	8.0
chr7	+	654043	654053	8.0
chr7	+	672832	672842	8.0
chr7	+	734504	734514	8.0
chr7	+	772470	772480	8.0
chr7	+	805850	805860	8.0
chr7	+	841584	841594	8.0
chr7	+	899893	899903	8.0
chr7	+	970960	970970	8.0
chr7	+	987151	987161	8.0
chr7	+	1003838	1003848	8.0
chr7	+	1053853	1053863	8.0
chr7	+	1070351	1070361	8.0
chr7	+	5255	5265	7.0
chr7	+	47492	47502	7.0
chr7	+	55002	55012	7.0
