chrom	start	end	value	strand	chrom	start	end	value	strand	midpoint	c-w reads sum	c-w distance (bp)
chr7	787087	787097	1046.0	+	chr7	787113	787123	524.0	-	787105	1570.0	26
chr7	640516	640526	805.0	+	chr7	640543	640553	788.0	-	640534	1593.0	27
chr7	1061751	1061761	742.0	+	chr7	1061776	1061786	774.0	-	1061768	1516.0	25
chr7	35212	35222	721.0	+	chr7	35238	35248	217.0	-	35230	938.0	26
chr7	962201	962211	671.0	+	chr7	962225	962235	494.0	-	962218	1165.0	24
chr7	976935	976945	671.0	+	chr7	976960	976970	119.0	-	976952	790.0	25
chr7	157716	157726	599.0	+	chr7	157744	157754	679.0	-	157735	1278.0	28
chr7	1022478	1022488	579.0	+	chr7	1022504	1022514	450.0	-	1022496	1029.0	26
chr7	53690	53700	559.0	+	chr7	53717	53727	543.0	-	53708	1102.0	27
chr7	756619	756629	502.0	+	chr7	756642	756652	198.0	-	756635	700.0	23
chr7	190993	191003	463.0	+	chr7	191018	191028	235.0	-	191010	698.0	25
chr7	787120	787130	433.0	+	chr7	787160	787170	13.0	-	787145	446.0	40
chr7	217372	217382	432.0	+	chr7	217399	217409	520.0	-	217390	952.0	27
chr7	648176	648186	416.0	+	chr7	648203	648213	343.0	-	648194	759.0	27
chr7	596344	596354	408.0	+	chr7	596361	596371	125.0	-	596357	533.0	17
chr7	905058	905068	399.0	+	chr7	905085	905095	194.0	-	905076	593.0	27
chr7	200314	200324	392.0	+	chr7	200338	200348	175.0	-	200331	567.0	24
chr7	1083951	1083961	378.0	+	chr7	1083978	1083988	108.0	-	1083969	486.0	27
chr7	377308	377318	331.0	+	chr7	377333	377343	170.0	-	377325	501.0	25
chr7	609894	609904	298.0	+	chr7	609925	609935	1524.0	-	609914	1822.0	31
chr7	1084281	1084291	280.0	+	chr7	1084306	1084316	215.0	-	1084298	495.0	25
chr7	609880	609890	260.0	+	chr7	609906	609916	228.0	-	609898	488.0	26
chr7	374943	374953	252.0	+	chr7	374970	374980	161.0	-	374961	413.0	27
chr7	397896	397906	251.0	+	chr7	397923	397933	140.0	-	397914	391.0	27
chr7	581835	581845	246.0	+	chr7	581861	581871	51.0	-	581853	297.0	26
chr7	347047	347057	227.0	+	chr7	347071	347081	272.0	-	347064	499.0	24
chr7	316653	316663	223.0	+	chr7	316675	316685	89.0	-	316669	312.0	22
chr7	888648	888658	223.0	+	chr7	888675	888685	259.0	-	888666	482.0	27
chr7	123473	123483	204.0	+	chr7	123497	123507	210.0	-	123490	414.0	24
chr7	272975	272985	196.0	+	chr7	273002	273012	405.0	-	272993	601.0	27
chr7	953829	953839	196.0	+	chr7	953856	953866	330.0	-	953847	526.0	27
chr7	284280	284290	187.0	+	chr7	284309	284319	423.0	-	284299	610.0	29
chr7	800263	800273	182.0	+	chr7	800287	800297	210.0	-	800280	392.0	24
chr7	49387	49397	170.0	+	chr7	49409	49419	1650.0	-	49403	1820.0	22
chr7	757508	757518	168.0	+	chr7	757534	757544	92.0	-	757526	260.0	26
chr7	781603	781613	161.0	+	chr7	781628	781638	166.0	-	781620	327.0	25
chr7	932107	932117	147.0	+	chr7	932134	932144	113.0	-	932125	260.0	27
chr7	345833	345843	144.0	+	chr7	345855	345865	254.0	-	345849	398.0	22
chr7	770409	770419	143.0	+	chr7	770435	770445	356.0	-	770427	499.0	26
chr7	500021	500031	139.0	+	chr7	500030	500040	301.0	-	500030	440.0	9
chr7	936975	936985	136.0	+	chr7	937001	937011	74.0	-	936993	210.0	26
chr7	584672	584682	132.0	+	chr7	584695	584705	80.0	-	584688	212.0	23
chr7	855021	855031	132.0	+	chr7	855046	855056	303.0	-	855038	435.0	25
chr7	560408	560418	131.0	+	chr7	560433	560443	181.0	-	560425	312.0	25
chr7	1051847	1051857	129.0	+	chr7	1051872	1051882	53.0	-	1051864	182.0	25
chr7	532721	532731	123.0	+	chr7	532745	532755	41.0	-	532738	164.0	24
chr7	511160	511170	122.0	+	chr7	511184	511194	156.0	-	511177	278.0	24
chr7	754051	754061	121.0	+	chr7	754069	754079	31.0	-	754065	152.0	18
